IDUNIVERSITY,University
918,Gonabad University of Medical Sciences
919,Universidade Federal do Rio de Janeiro
920,Oklahoma Baptist University
921,Universidade de Alfenas
922,United States Military Academy
923,Iran University of Medical Sciences
924,Hitotsubashi University
925,Universidad Señor de Sipán
926,Sultan Qaboos University
927,Pan African Christian University College
928,St. Petersburg State Chemical Pharmaceutical Academy
929,Saitama Medical School
930,MidAmerican Bible College
931,Universidad Nacional Experimental del Táchira
932,Pontifcia Università Urbaniana
933,Ecole des Hautes Etudes en Gestion Informatique et Communication
934,Universiti Malaysia Sarawak
935,Meijo University
936,Golestan University of Medical Sciences
937,University of Oklahoma
938,Adamson University
939,American Indian College
940,Hormozgan University of Medical Sciences
941,University of Bacau
942,University College of the Fraser Valley
943,Universität Hannover
944,Chunchon National University of Education
945,TarguMures University of Theatre
946,University of Juba
947,Mie University
948,Chonju National University of Education
949,Australian Lutheran College
950,Galway Mayo Institute of Technology
951,Teacher Training College of Revalidation Rehabilitation and Physical Education
952,Olivet Nazarene University
953,Ufa State Institute of Arts
954,Universitas Methodist Indonesia
955,Universidad Andina Nestor Caceares Velasquez
956,Université Omar Bongo
957,University of the Pacific
958,Royal College of Physicians of Ireland
959,Bunka Women's University
960,George Mason University
961,Universidad Fray Luca Paccioli
962,Politeknik Negeri Lhokseumawe
963,American University of the Caribbean School of Medicine
964,Beder University
965,Tabriz University of Medical Sciences
966,Institute of Teachers Education Ipoh
967,Ecole Nationale Vétérinaire de Nantes
968,San Francisco Art Institute
969,Kwara State University 
970,Vinayaka Mission's Research FoundationDeemed University
971,Kitakyushu University
972,Houghton College
973,Academy of Performing Arts Film and TV Fakulty
974,Medical University of Sofia
975,James Madison University
976,State University of New York Maritime College
977,Technische Universität Darmstadt
978,Universidad Católica Tecnológica del Cibao
979,Universidad Gabriela Mistral
980,Fachhochschule Heilbronn Hochschule für Technik und Wirtschaft
981,Fine Arts Academy Jan Matejko in Cracow
982,Université Jean Moulin 
983,Universidad Central del Valle del Cauca
984,Standford Online University
985,New Jersey Institute of Technology
986,Huaihua Medical College
987,Florida University of Medicine
988,University of Alanta
989,Timirjazev Moscow Academy of Agricultutre
990,Tajik National University
991,University of Advancing Technology 
992,University of Tennessee  Memphis
993,Limestone College
994,Southern Arkansas University
995,Arab Academy for Banking and Financial Sciences
996,University of Applied Sciences
997,Budapest University of Economic Sciences and Public Administration
998,Kazak National Technical University
999,Technical University of Bialystok
1000,Campus BioMedico University of Rome
1001,Mount Meru University
1002,Harvard University
1003,Les Roches Gruyère University of Applied Sciences
1004,University of Toledo
1005,King Abdullah University of Science and Technology 
1006,University of Lower Silesia of the Association for the Advancement of Education in Wroclaw.
1007,Elizabeth City State University
1008,Sabzevar Teacher Training University
1009,Pädagogische Hochschule Karlsruhe
1010,Northern Illinois University
1011,Shendi University
1012,Universidad Autónoma Agraria Antonio Narro
1013,Eurasian Institute of market
1014,Pontifícia Universidade Católica de São Paulo
1015,Universidad de Cienfuegos
1016,Zimbabwe Open University
1017,Dillard University
1018,AlQuds Open University
1019,Yantai Education Institute & Yantai Television University
1020,Chang Gung University
1021,University of Alaska  Southeast
1022,National University of Ireland Galway
1023,Academy of Economics in Poznan
1024,Shandong Normal University
1025,American InterContinental University  London
1026,University of Western Australia
1027,Qiongzhou University
1028,Ecole Supérieure de Commerce de Bordeaux
1029,Cologne Business School
1030,Shanghai Jiaotong University
1031,Korea Advanced Institute of Science & Technology
1032,Universidad del Valle de Guatemala
1033,Hastings College
1034,Meiji College of Pharmacy
1035,Knox College
1036,Universidad de Puerto Rico Ponce
1037,Kemerovo State University
1038,Bamiyan University
1039,Fairleigh Dickinson University TeaneckHackensack Campus
1040,Postgraduate lnstitute of Medical Education and Research
1041,Corporación Universitaria de Ibagué 
1042,Hainan University
1043,Kumaun University
1044,Atish Dipankar University
1045,Ecole Superieur d'Ingenieurs Leonard de Vinci
1046,Islamic Azad University Quchan
1047,Universidad Tecnológica Oteima
1048,Universidad Católica de Ávila
1049,Nagano University
1050,Gifu University
1051,Millsaps College
1052,California School of Professional Psychology  San Diego
1053,University of Tampa
1054,Carl von Ossietzky Universität Oldenburg
1055,SherEKashmir University of Agricultural Sciences and Technology
1056,Universidad Latinoamericana de Ciencia y Tecnologia Panamá
1057,Humboldt Universität Berlin
1058,Institut Teknologi Adhi Tama Surabaya
1059,St. Petersburg State Academy for Engineering Economics 
1060,University of Hyderabad
1061,Sindh Agricultural University
1062,Agricultural University of Lublin
1063,Rosemont College
1064,University of San Francisco
1065,University of Nebraska  Lincoln
1066,College of Idaho
1067,Toyo Eiwa Women's University
1068,Academia Nacional Superior de Orquesta
1069,Technological University of the Philippines
1070,Academy of Arts George Enescu Iasi
1071,Adigrat University
1072,Full Sail University
1073,Hubert Kairuki Memorial University
1074,Shikoku Christian College
1075,Lamar University  Port Arthur
1076,Harare Institute of Technology
1077,Perm State University
1078,Université Shalom de Bunia
1079,University of Northern Colorado
1080,Emmaus Bible College
1081,Institut Catholique de Toulouse
1082,Northern Arizona University
1083,Universitas Tarumanagara
1084,Middlebury College
1085,Concordia College Moorhead
1086,City University of New York New York City Technical College
1087,Universidad Autónoma de Baja California
1088,Hamilton College
1089,University of Kentucky
1090,Universidade de Aveiro
1091,University of Bunkyo
1092,California State University Stanislaus
1093,International Academy of  Merchandising and Design Chicago
1094,Arkansas State University Mountain Home
1095,University of Wisconsin  La Crosse
1096,Pittsburg State University
1097,Air Force Institute of Technology
1098,Suranaree University of Technology
1099,Yasuj University of Medical Sciences
1100,Adekunle Ajasin University
1101,Tokyo Women's Medial College
1102,Universitas Bhayangkara Jakarta Raya
1103,Universidad Autónoma de la Laguna
1104,University of Kerala
1105,Universidad Internacional SEK Quito
1106,University of North Carolina at Greensboro
1107,Rochester Institute of Technology
1108,Moscow State University of Economics Statistics and Informatics
1109,Université de la Reunion
1110,Universidade Castelo Branco
1111,Central Bible College
1112,California School of Professional Psychology  Los Angels
1113,Kaunas University of Technology
1114,Capitol College
1115,Furman University
1116,Universidad Iberoamericana de Ciencias y Tecnologia
1117,Universidad Nacional Agraria de la Selva
1118,Singapore Management University
1119,SASTRA Deemed University
1120,University of Art and Design Helsinki
1121,Modern Institute of Managament
1122,University of Wales
1123,Vologda State Pedagogical University
1124,People's University of Bangladesh
1125,Fukuoka University of Education
1126,Douglas College
1127,University of Tennessee Space Institute
1128,Vitebsk State Technological University
1129,Utah Valley State College
1130,University College of SaintBoniface
1131,Caleb University
1132,Polytechnic University Westchester Graduate Center
1133,European Business School
1134,University Medical School of Debrecen
1135,University of Alaska  Fairbanks
1136,Silesian Technical University of Gliwice
1137,Pennsylvania State University  BerksLehigh Valley College
1138,Long Island University C.W. Post Campus
1139,Akita University
1140,Bennington College
1141,Tennessee Technological University
1142,University of Catania
1143,Shenyang Polytechnic University
1144,Kosin University
1145,Gotland University College
1146,College for Creative Studies
1147,University of Medicine and Pharmacology of Oradea
1148,Instituto Superior de Transportes e Comunicações
1149,Newman University
1150,Universiti Malaysia Terengganu
1151,Greenwich University
1152,Universidad Americana
1153,CollegeAmerica Denver
1154,Ho Polytechnic 
1155,National Hispanic University
1156,Universität Potsdam
1157,Rheinisch Westfälische Technische Hochschule Aachen
1158,University Campus Suffolk
1159,Dublin Institute for Advanced Studies
1160,Western Oregon University
1161,Centro Universitário de Araraquara
1162,Yaroslavl State University
1163,University of St. Jerome's College
1164,Dogus University
1165,Universidad Juan Misael Saracho
1166,University of New Brunswick
1167,Southern Yangtze University
1168,Fachhochschule für Bank und Finanzwirtschaft
1169,University of AlQadisiyah
1170,Molde University College
1171,Ecole Nationale Vétérinaire de Toulouse
1172,Tashkent Pharmaceutical Institute
1173,Universidad José Maria Vargas
1174,Vikrama Simhapuri University
1175,Abubakar Tafawa Balewa University
1176,DeVry Institute of Technology Irving
1177,Columbia College Hollywood
1178,University of Phoenix
1179,Universidad Tecnológica Metropolitana
1180,Guangzhou University
1181,SteinbeisHochschuleBerlin
1182,Loyola Marymount University
1183,Université Pierre MendesFrance 
1184,Academy of the Ministry of Internal Affairs of the Republic of Belarus
1185,FAE Business School  Faculdade de Administração e Economia
1186,Dominican School of Philosophy and Theology
1187,Universidad Justo Sierra
1188,University of Glamorgan
1189,Ecole Française de Papeterie et des Industries Graphiques
1190,University Institute of Teacher Training Suor Orsola Benincasa
1191,Ecole Supérieure des Techniques Industrielles et des Textiles
1192,Central South Forestry University
1193,Saigon University
1194,Universitas Nusa Cendana
1195,Hanshin University
1196,Wiley College
1197,Dublin Institute of Technology
1198,Northeastern State University
1199,Universidad Estatal de Bolívar
1200,Srinakharinwirot University
1201,RMIT International University Vietnam
1202,Dimocritus University of Thrace
1203,Brexgata University Academy
1204,Shizuoka Sangyo University
1205,University of Southern Europe 
1206,Kerala Agricultural University
1207,Periyar University
1208,Yazd University
1209,Dakota State University
1210,Katholische Fachhochschule Norddeutschland
1211,Faculdade Integradas do Ceará
1212,Zhetysu State University 
1213,University of Islamic Studies
1214,East Stroudsburg State University
1215,Universidad Católica de Salta
1216,Rezekne Higher School
1217,Thammasat University
1218,Oregon College of Arts and Crafts
1219,Universidad Nacional de La Matanza
1220,Instituto Tecnológico de San Luis Potosí
1221,Pädagogische Hochschule Heidelberg
1222,Universidad Católica de Manizales
1223,National Taiwan College of Arts
1224,Our Lady of the Lake University
1225,Lubbock Christian University
1226,University of the District of Columbia
1227,St. Mary's University
1228,Foreign Trade University
1229,Pacific University
1230,Nakhchivan State University
1231,Hamilton Technical College
1232,Universitas Lancang Kuning
1233,University of Western Ontario
1234,North Carolina Central University
1235,Lithunian Academy of Music and Theatre
1236,Technical University of Poznan
1237,Ouachita Baptist University
1238,Rostov State Medical University
1239,Kaboora Institute of Higher Education
1240,Hochschule Bremerhaven
1241,University of Goroka
1242,University of Alabama  Huntsville
1243,Wilson College
1244,Hokkaido University
1245,Music Academy in Lodz
1246,Wonkwang University
1247,Mongolian State University of Education
1248,Maharshi Dayanand Sarswati University Ajmer
1249,University of Kalyani
1250,Kazakh British Technical University
1251,Universidad Arturo Prat
1252,Coppin State College
1253,West Coast University 
1254,Kamrah International Institute of Technology 
1255,Fachhochschule Worms
1256,Chung Hua University
1257,Louisiana State University and Agricultural and Mechanical College
1258,University of Salford
1259,Ivanovo State University
1260,Universidade São Judas Tadeu
1261,Ibaraki University
1262,Universidad Cristiana de las Asambleas de Dios
1263,Idaho State University
1264,Aquinas University
1265,Shanxi Normal University
1266,University of Helsinki
1267,Islamic Azad University Shirvan
1268,Otterbein College
1269,Adama Science and Technology University
1270,Tokyo Medical and Dental University
1271,Claremont Lincoln University
1272,Instituto Politécnico de Setúbal
1273,Universidade Candido Mendes
1274,Université des Antilles et de la Guyane
1275,Central Institute of English and Foreign Languages
1276,Cubidor University Switzerland
1277,Shahrekord University
1278,Rasmussen College North Dakota Campuses
1279,Guangdong Peizheng College 
1280,State University of New York at Albany
1281,Amherst College
1282,United States International University
1283,Edinboro University of Pennsylvania
1284,Pacific Graduate School of Psychology
1285,University of Sudbury
1286,Comenius University in Bratislava
1287,Shanghai Ouhua Vocational Technical College
1288,Universitas Kristen Duta Wacana
1289,Missouri Western State College
1290,Toho Gakuen School of Music
1291,University of British Columbia
1292,University of New South Wales
1293,Tezukayama University
1294,University of Agriculture and Veterinary Medicine Iasi
1295,Osaka Institute of Technology
1296,BlessingRieman College of Nursing
1297,Southern Oregon University
1298,Mongolian State University of Agriculture
1299,Florida Southern College
1300,Preston Institute of Management Sciences and Technology 
1301,Sampurnanand Sanskrit University
1302,Nihon Fukushi University
1303,Universidade de Coimbra
1304,University of Sadat City
1305,Université de Bamako
1306,Newports Institute of Communication & Economics
1307,Danish University of Education
1308,National University of Defense Technology
1309,University of Lucerne
1310,Celal Bayar University
1311,College for Lifelong Learning
1312,Vidzeme University College
1313,Bicol University
1314,COMSATS Institute of Information Technology Attock
1315,Universidad del Sagrado Corazon
1316,Hogeschool van Amsterdam
1317,Mahatma Gandhi University Kerala
1318,Delta International University
1319,Taj Institute of Higher Education
1320,Dokkyo University School of Medicine
1321,Stefan University
1322,Stephen F. Austin State University
1323,Stavropol State Technical University
1324,Estonian Business School
1325,Yemenia University
1326,Sagami Women's University
1327,Örebro University
1328,St. Joseph's College New York
1329,Isfahan University
1330,Sabzevar School of Medical Sciences
1331,Alma College
1332,University of South Florida
1333,Yarmouk University
1334,Private Hanseuniversität
1335,Bob Jones University
1336,North Central Bible College
1337,Kenya Methodist University
1338,University of Colorado Health Sciences Center
1339,Universidad de Occidente
1340,Tashkent State University of Economics
1341,New College of Florida
1342,Perdana University
1343,Université Hassan II  Aïn Chock
1344,University of Pannonia
1345,University of Toronto
1346,Universidad Técnica Estatal de Quevedo
1347,Liaoning Normal University
1348,Ecole Supérieure de Commerce de Paris
1349,Shahrood University of Medical Sciences
1350,French University in Armenia 
1351,Universidad Nacional Experimental Politécnica Antonio José de Sucre
1352,Universidad Técnica de Ambato
1353,Ecole Supérieure de Commerce de MarseilleProvence
1354,Institute of Clinical Social Work
1355,Keiwa College
1356,Pandit Ravi Shankar Shukla University
1357,Saginaw Valley State University
